Emotion,Sentences
Admiration,"Wow, your dedication to mastering the piano is seriously impressive. 每天练习四个小时，太强了!"
Admiration,She managed the entire crisis single-handedly? That's some next-level leadership skills.
Admiration,"Kau ni memang pandai sangat lah, solving that complex problem so quickly. Respect."
Admiration,"His humility despite all his achievements? Truly admirable, tbh. A rare quality."
Admiration,Look at the intricate details she wove into this tapestry. Such patience and skill.
Admiration, 他捐了那么多钱却不要出名，really makes you think about true generosity.
Admiration,"The way you stood up for what's right, even when it was hard? Major respect."
Admiration,He's only 16 but already coding like a senior developer - honestly blown away by his talent.
Admiration,Your grandmother's stories about the war... such strength and wisdom in every word.
Amusement,Hahaha omg did you see what happened during the meeting? Boss terkejut sampai tumpah kopi!
Amusement,Your cat really thinks it's a dog or something 😂 chasing its own tail like that.
Amusement,Lol this meme perfectly describes my life right now - chaos but make it organized.
Amusement,哈哈哈，你刚才的joke真的很好笑！Almost choked on my drink.
Amusement,That movie was so bad it was actually good. We couldn't stop laughing at the plot holes.
Amusement,"Wei, you seriously wore that shirt inside out for the entire day? Classic you lah."
Amusement,"1. You should've seen his attempt at salsa dancing. Like a startled chicken, I swear. Hahaha."
Amusement,Then he tried to blame the broken vase on the goldfish. Idk why but I couldn't stop laughing.
Anger,This is completely unacceptable! Three weeks late and still no proper explanation?
Anger,I'm so fed up with this nonsense. Enough is enough!
Anger,真的很不爽！Why can't people just do what they promised?
Anger,The way they treated the elderly man was absolutely disgusting. Makes my blood boil.
Anger,Are you kidding me right now? After everything I've done for this project?
Anger,Seriously cannot tahan anymore. This kind of behavior is just wrong.
Anger,他居然偷我的点子! After I trusted him? I'm so damn pissed off right now.
Anger,They had ONE job and somehow managed to mess it up completely. Unbelievable.
Anger,"故意迟到两个小时? No call, no text? I'm beyond angry right now."
Annoyance,"Ugh, not this again. Third time this week the wifi's acting up."
Annoyance,Could you please stop tapping your pen? It's driving me nuts lah.
Annoyance,又来了... why do they always call during dinner time?
Annoyance,Really getting on my nerves how people don't clean up after themselves.
Annoyance,"Aiyo, why is the line moving so slowly today? I have places to be."
Annoyance,That constant notification sound is seriously bugging me right now.
Annoyance,Can we please not have this conversation again? We've been through this already.
Annoyance,The way he chews with his mouth open... so irritating lah.
Approval,"Yes, exactly! That's precisely what I was thinking too."
Approval,You made the right call there. Smart decision given the circumstances.
Approval,对的对的，your approach makes perfect sense.
Approval,Setting clear boundaries? Absolutely the right move. Well done.
Approval,That's a solid plan - I'm fully behind this idea.
Approval,"Good point about the timeline. You're thinking ahead, which is great."
Approval,Betul tu! Finally someone who gets it.
Approval,批准了? Excellent news! That's definitely the green light we needed.
Caring,Are you getting enough sleep? You look really tired lately and I'm worried about you.
Caring,"Don't forget to eat something proper today, okay? Your health is important."
Caring,"你还好吗？If you need someone to talk to, I'm here."
Caring,Take care of yourself out there. The weather's been unpredictable.
Caring,You look exhausted. Sure ke you don't want me to drive you home? 我送你吧.
Caring,Please drive safely tonight. Text me when you reach home?
Caring,That cough sounds rough. Nak I make you some ginger tea? 你需要休息.
Caring,Jangan stress too much about the exam lah. You've prepared well.
Confusion,"Wait, what? I thought the meeting was supposed to be tomorrow, not today."
Confusion,I'm completely lost. Can someone explain this to me again?
Confusion,"Wait, the meeting is where now? I thought it was in Conference Room B? 搞错了?"
Confusion,"Hold on, how did we go from discussing lunch to quantum physics?"
Confusion,Huh? But didn't you just say the opposite thing five minutes ago?
Confusion,I'm trying to follow your logic but... can you walk me through it once more?
Confusion,So... are we supposed to agree or disagree with point 3? I'm a bit lost here.
Confusion,"Huh? What does this error message even mean? ""Syntax anomaly detected""? Idk lah."
Confusion,他到底想说什么? I've read the email three times and still don't get the point.
Curiosity,What's that book you're reading? The cover looks interesting.
Curiosity,How did you learn to cook like this? I need to know your secrets!
Curiosity,好奇... what made you decide to change careers so suddenly?
Curiosity,I've been wondering - what's it actually like living in a different country?
Curiosity,How exactly does that new AI algorithm work? Sounds fascinating. 原理是什么?
Curiosity,"Ooh, what's in that little box you're hiding? Spill the tea lah!"
Curiosity,Always wanted to ask - how do you stay so organized? Teach me your ways.
Curiosity,That place you mentioned... what's so special about it?
Desire," I really, really want to visit Japan next year. 一定要去京都看看!"
Desire,好想吃火锅啊! Especially on a cold day like this. Craving it badly.
Desire,好想要那个包包... but probably too expensive for me.
Desire,希望有一天能住在大海边. Waking up to the sound of waves... perfect.
Desire,I wish I could just drop everything and travel the world for a year. The dream.
Desire,I want to learn photography so badly but don't know where to start.
Desire,That limited edition sneaker is calling my name. Nak sangat beli.
Desire,Dying to try that new restaurant everyone's been talking about.
Disappointment,I really thought this time would be different. Guess I was wrong again.
Disappointment,All that preparation for nothing... the event got cancelled last minute.
Disappointment,"Aiya, the concert tickets sold out in seconds. So gutted. 太失望了."
Disappointment,Expected so much more from this movie. What a letdown.
Disappointment,Can't believe they chose someone else after I worked so hard for this.
